지번주소,HDBSCAN_cluster_without_noise,인구밀도,총 사업체수,반경 1km 이내 불법주정차 단속 수,토지면적,공시지가(원/면적),역과의최단거리,반경 1km 이내 주차장수,위도,경도
서울특별시 광진구 중곡동  59-13,0,24792.6,43,30,166.0,3837000.0,901,156,37.5602055,127.0883975
서울특별시 광진구 중곡동  59-14,0,24792.6,43,30,166.0,3837000.0,912,156,37.5601002,127.0884168
서울특별시 광진구 중곡동  59-15,0,24792.6,43,30,166.0,3837000.0,924,155,37.55999509999999,127.0884357
서울특별시 광진구 중곡동  59-16,0,24792.6,43,31,166.0,3837000.0,936,156,37.5598894,127.0884552
서울특별시 광진구 중곡동  59-17,0,24792.6,43,28,228.8,4414000.0,950,156,37.5597638,127.0884824
서울특별시 광진구 중곡동  59-2,0,47098.7,17,28,172.6,3808000.0,936,150,37.5603814,127.088703
서울특별시 광진구 중곡동  59-3,0,47098.7,17,26,167.6,3808000.0,949,151,37.5602611,127.088726
서울특별시 광진구 중곡동  59-4,0,47098.7,17,26,167.6,3808000.0,962,152,37.5601421,127.0887492
서울특별시 광진구 중곡동  59-5,0,47098.7,17,28,159.7,3808000.0,975,152,37.5600286,127.0887706
서울특별시 광진구 중곡동  59-6,0,47098.7,17,28,141.8,3737000.0,980,153,37.5599667,127.0886336
서울특별시 광진구 중곡동  59-7,0,47098.7,17,28,166.0,3772000.0,968,154,37.5600779,127.0886175
서울특별시 광진구 중곡동  59-8,0,47098.7,17,30,199.0,3772000.0,953,152,37.56020900000001,127.0885936
서울특별시 광진구 중곡동  59-9,0,47098.7,17,30,198.7,3772000.0,937,152,37.5603515,127.0885676
서울특별시 광진구 중곡동  61-12,0,42275.1,35,26,103.1,3092000.0,1059,147,37.55974399999999,127.0895091
서울특별시 광진구 중곡동  61-13,0,42275.1,35,26,134.5,3835000.0,1059,146,37.5596619,127.089499
서울특별시 광진구 중곡동  61-4,0,42275.1,35,26,113.4,3059000.0,1026,146,37.5598189,127.0895106
서울특별시 광진구 중곡동  61-6,0,42275.1,35,26,123.3,3059000.0,1011,146,37.5598636,127.0893531
서울특별시 광진구 중곡동  61-7,0,42275.1,35,26,115.0,3092000.0,1044,146,37.5597847,127.0893428
서울특별시 광진구 중곡동  61-8,0,42275.1,35,26,163.0,3835000.0,1044,146,37.5596865,127.0893284
서울특별시 광진구 중곡동  61-9,0,42275.1,35,26,174.5,3835000.0,1032,146,37.559701,127.0891885
서울특별시 광진구 중곡동  615-10,0,46618.9,31,24,132.6,4320000.0,677,93,37.5611422,127.0762961
서울특별시 광진구 중곡동  615-11,0,46618.9,31,30,129.6,3449000.0,688,92,37.5612081,127.076197
서울특별시 광진구 중곡동  615-12,0,46618.9,31,24,115.0,3449000.0,737,93,37.5612904,127.076292
서울특별시 광진구 중곡동  615-13,0,46618.9,31,24,133.2,4320000.0,726,95,37.5612429,127.0764025
서울특별시 광진구 중곡동  615-14,0,46618.9,31,24,140.2,4493000.0,723,95,37.5613306,127.0764904
서울특별시 광진구 중곡동  615-15,0,46618.9,31,24,132.2,4309000.0,734,95,37.561373,127.0763809
서울특별시 광진구 중곡동  615-5,0,46618.9,31,22,176.9,3449000.0,759,86,37.5613247,127.0759653
서울특별시 광진구 중곡동  615-9,0,46618.9,31,24,152.1,4539000.0,680,93,37.5610599,127.07621
서울특별시 광진구 중곡동  616-1,0,46618.9,31,26,141.5,4493000.0,707,97,37.5612735,127.0766506
서울특별시 광진구 중곡동  616-2,0,46618.9,31,32,132.6,4276000.0,710,96,37.5611857,127.0765606
서울특별시 광진구 중곡동  616-3,0,46618.9,31,24,132.6,4276000.0,661,95,37.5610998,127.0764762
서울특별시 광진구 중곡동  616-4,0,46618.9,31,24,153.7,4539000.0,664,95,37.5610069,127.0763834
