지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  561-12,13.5786085,1.947867,1977
서울특별시 광진구 광장동  565,7.7870436,-0.33822113,604
서울특별시 광진구 광장동  566,7.81352,-0.3199805,606
서울특별시 광진구 광장동  567,7.773292,-0.36030477,602
서울특별시 광진구 광장동  569,7.7915664,-0.33841035,604
서울특별시 광진구 광장동  570,7.816039,-0.36741272,68
서울특별시 광진구 광장동  571-1,6.0198197,-0.9246042,638
서울특별시 광진구 광장동  574-2,12.662563,1.7708147,1964
서울특별시 광진구 광장동  576,7.799254,-0.33176973,605
서울특별시 광진구 광장동  577,7.799244,-0.31492326,68
서울특별시 광진구 광장동  578,7.7974243,-0.33156034,605
서울특별시 광진구 광장동  579,7.7779984,-0.30028757,68
서울특별시 광진구 광장동  580,7.6733017,-0.29969296,68
서울특별시 광진구 광장동  581,7.6668205,-0.33966723,68
서울특별시 광진구 광장동  582,7.8149614,-0.32057422,606
서울특별시 광진구 광장동  582-3,12.593836,1.8225484,705
서울특별시 광진구 구의동  129-2,7.3776097,0.2864452,598
서울특별시 광진구 구의동  130-1,12.558688,1.7811164,1967
서울특별시 광진구 구의동  143-11,0.68486124,7.05213,1636
서울특별시 광진구 구의동  143-3,0.71589124,6.5481896,1633
서울특별시 광진구 구의동  143-5,0.5984092,6.741403,439
서울특별시 광진구 구의동  143-6,0.61819494,6.7009625,439
서울특별시 광진구 구의동  143-8,0.3790049,7.2167454,1640
서울특별시 광진구 구의동  143-9,0.37891233,7.219174,1640
서울특별시 광진구 구의동  16-10,13.626217,1.6096457,706
서울특별시 광진구 구의동  16-13,13.686002,1.541983,1973
서울특별시 광진구 구의동  16-16,0.119102396,6.4892526,428
서울특별시 광진구 구의동  16-18,0.8728683,5.5136437,382
서울특별시 광진구 구의동  16-19,0.9162473,5.465318,382
서울특별시 광진구 구의동  16-26,0.21656549,6.1098495,427
서울특별시 광진구 구의동  16-29,13.636952,1.5799367,706
서울특별시 광진구 구의동  16-30,13.699582,1.5325129,707
서울특별시 광진구 구의동  16-33,13.692112,1.5266917,707
서울특별시 광진구 구의동  16-4,0.6556974,6.702281,439
서울특별시 광진구 구의동  16-8,0.9346575,5.4604826,382
서울특별시 광진구 구의동  16-9,0.7032911,5.50792,384
서울특별시 광진구 구의동  164-2,12.561744,1.7896048,1967
서울특별시 광진구 구의동  164-5,12.470587,1.731356,1969
서울특별시 광진구 구의동  17-1,13.111109,1.7410158,1971
서울특별시 광진구 구의동  19-2,0.7006475,7.1717753,1637
서울특별시 광진구 구의동  19-3,0.72246414,6.6460776,440
서울특별시 광진구 구의동  198-1,6.638738,-1.4557747,633
서울특별시 광진구 구의동  198-3,6.605266,-1.584113,78
서울특별시 광진구 구의동  198-4,6.644418,-1.4758966,633
서울특별시 광진구 구의동  198-5,-1.70413,-6.5186925,1739
서울특별시 광진구 구의동  199-1,6.637976,-1.4520549,633
서울특별시 광진구 구의동  199-10,6.63617,-1.4413195,633
서울특별시 광진구 구의동  199-14,6.6347337,-1.468601,633
서울특별시 광진구 구의동  199-15,6.648483,-1.4462782,633
서울특별시 광진구 구의동  199-18,7.7201295,-0.37153426,68
서울특별시 광진구 구의동  199-2,4.706771,-1.6461931,873
서울특별시 광진구 구의동  199-20,-1.4996809,-6.9011917,1750
서울특별시 광진구 구의동  199-21,-1.4667429,-6.894345,1750
서울특별시 광진구 구의동  199-22,-1.4949332,-6.8608675,1750
서울특별시 광진구 구의동  199-23,7.698853,-0.37823766,68
서울특별시 광진구 구의동  199-5,6.5684385,-1.5508984,635
서울특별시 광진구 구의동  199-6,6.6502333,-1.4555708,633
서울특별시 광진구 구의동  199-8,6.6596866,-1.4086452,633
서울특별시 광진구 구의동  199-96,6.6412835,-1.4364578,633
서울특별시 광진구 구의동  20-1,0.7099102,6.592476,1633
서울특별시 광진구 구의동  20-12,0.70780355,6.7058516,1632
서울특별시 광진구 구의동  20-13,0.6861121,6.6951437,1632
서울특별시 광진구 구의동  20-15,0.6979623,6.6692696,1632
서울특별시 광진구 구의동  20-16,0.7188975,6.696797,1632
서울특별시 광진구 구의동  20-17,0.7001558,6.6506534,440
서울특별시 광진구 구의동  20-2,0.6940915,6.6382275,440
서울특별시 광진구 구의동  20-3,0.7274894,6.7132983,1632
서울특별시 광진구 구의동  20-7,0.6897644,6.6377006,440
서울특별시 광진구 구의동  20-8,0.6904931,6.692472,1632
서울특별시 광진구 구의동  200-1,6.618858,-1.4042389,633
서울특별시 광진구 구의동  200-12,6.5195327,-1.5589322,635
서울특별시 광진구 구의동  200-13,6.531656,-1.5671289,635
서울특별시 광진구 구의동  200-14,6.51768,-1.5584512,635
서울특별시 광진구 구의동  200-15,6.62888,-1.4735346,633
서울특별시 광진구 구의동  200-16,6.5224953,-1.5677834,635
서울특별시 광진구 구의동  200-17,6.5066366,-1.5305704,635
