지번주소,UMAP1,UMAP2,OPTICS_cluster_all,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  246-12,18.393522,13.41418,1501,2077
서울특별시 광진구 광장동  246-20,18.371141,13.387161,1500,2076
서울특별시 광진구 광장동  246-6,18.387726,13.409071,1501,2077
서울특별시 광진구 광장동  246-7,18.4071,13.408677,-1,560
서울특별시 광진구 광장동  246-9,18.365265,13.3883705,1500,2076
서울특별시 광진구 광장동  247,-1.2064058,16.560041,1670,2249
서울특별시 광진구 광장동  247-10,-1.231989,16.582195,1671,2250
서울특별시 광진구 광장동  247-11,-1.2729707,16.623945,-1,698
서울특별시 광진구 광장동  247-13,-1.2350682,16.58328,1671,2250
서울특별시 광진구 광장동  247-17,18.379807,13.398797,-1,560
서울특별시 광진구 광장동  247-18,18.364468,13.385915,1500,2076
서울특별시 광진구 광장동  247-2,18.3669,13.385937,1500,2076
서울특별시 광진구 광장동  247-20,18.355677,13.383415,-1,560
서울특별시 광진구 광장동  247-22,18.35407,13.386775,-1,560
서울특별시 광진구 광장동  247-23,18.365143,13.383412,1500,2076
서울특별시 광진구 광장동  247-24,18.362263,13.381872,1500,2076
서울특별시 광진구 광장동  248-10,-1.2419599,16.592794,1672,2251
서울특별시 광진구 광장동  248-19,-1.2416497,16.59198,1672,2251
서울특별시 광진구 광장동  248-2,-1.2438115,16.59414,1672,2251
서울특별시 광진구 광장동  248-20,18.388268,13.413998,1501,2077
서울특별시 광진구 광장동  248-22,-1.2030807,16.556221,1670,2249
서울특별시 광진구 광장동  248-24,-1.2590007,16.60643,1674,2253
서울특별시 광진구 광장동  248-25,18.371113,13.393378,1500,2076
서울특별시 광진구 광장동  248-26,18.398537,13.417604,1501,2077
서울특별시 광진구 광장동  248-28,-1.1977663,16.550526,-1,697
서울특별시 광진구 광장동  248-3,-1.243234,16.592632,1672,2251
서울특별시 광진구 광장동  248-33,-1.2532403,16.601482,1673,2252
서울특별시 광진구 광장동  248-38,-1.2278522,16.579748,1671,2250
서울특별시 광진구 광장동  248-5,-1.2424334,16.592806,1672,2251
서울특별시 광진구 광장동  248-7,-1.2433679,16.593622,1672,2251
서울특별시 광진구 광장동  249-1,-1.2293385,16.575216,1671,2250
서울특별시 광진구 광장동  249-2,-1.2489148,16.59601,-1,698
서울특별시 광진구 광장동  249-3,-1.2511686,16.597975,1673,2252
서울특별시 광진구 광장동  249-7,-1.1829805,16.537384,1669,2248
서울특별시 광진구 광장동  250,-0.74216634,9.509681,1393,1963
서울특별시 광진구 광장동  256-1,-1.2477359,16.59587,1672,2251
